time,time_ms,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass
06:31:20,23480000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:21,23481000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:22,23482000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:23,23483000,0,4,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:24,23484000,98,980,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:25,23485000,220,1215,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:26,23486000,314,944,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:27,23487000,405,905,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:28,23488000,509,1039,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:29,23489000,647,1381,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:30,23490000,720,730,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:31,23491000,820,1003,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:32,23492000,932,1120,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:33,23493000,1057,1250,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:34,23494000,1188,1309,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:35,23495000,1321,1329,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:36,23496000,1457,1362,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:37,23497000,1546,891,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:38,23498000,1624,773,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:39,23499000,1686,628,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:40,23500000,1669,-173,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:41,23501000,1642,-266,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:42,23502000,1686,441,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:43,23503000,1676,-100,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:44,23504000,1670,-63,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:45,23505000,1676,60,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:46,23506000,1668,-82,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:47,23507000,1659,-86,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:48,23508000,1633,-255,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:31:49,23509000,1243,-3899,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
