trip_id,id,type,busStop,started,delay,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,block_id,block_name,start_diff
205146020,134,Gillig_103,2235,20401.0,1.00,134,20220111 05:42,20400,23400,2235,1351,5202,405,1.0
205147020,136,Gillig_102,2235,24182.0,782.00,136,20220111 06:52,23400,26400,2235,1351,402,1018,782.0
205148020,154,Gillig_101,2235,27054.0,954.00,154,20220111 07:10,26100,30300,2235,2231,202,1015,954.0
205149020,136,Gillig_102,2235,32478.0,3078.00,136,20220111 08:08,29400,33600,2235,2231,402,1018,3078.0
205150020,124,Gillig_103,2235,32059.0,859.00,124,20220111 08:35,31200,34140,2235,1351,3702,302,859.0
205151020,150,Gillig_101,2235,54903.0,3903.00,150,20220111 14:43,51000,55200,2235,2231,2302,1515,3903.0
205152020,136,Gillig_102,2235,77874.0,18774.00,136,20220111 16:27,59100,63300,2235,2231,7402,905,18774.0
205153020,130,Gillig_103,2235,61947.0,1647.00,130,20220111 16:40,60300,64500,2235,2231,3102,159,1647.0
205154020,123,Gillig_103,2235,66533.0,3533.00,123,20220111 17:52,63000,66000,2235,1351,2402,1519,3533.0
205155020,123,Gillig_103,2235,66533.0,3533.00,123,20220111 19:07,68700,72900,2235,2231,2402,1519,2167.0
205156020,154,Gillig_101,145,77384.0,0.00,154,20220111 21:31,77400,79200,145,288,2802,155,16.0
205157020,154,Gillig_101,145,70266.0,66.00,154,20220111 19:25,70200,72000,145,288,2802,155,66.0
205158020,126,Gillig_103,145,66635.0,37.00,126,20220111 18:37,66600,68400,145,288,3002,156,35.0
205159020,154,Gillig_101,145,64365.0,1366.00,154,20220111 17:40,63000,64800,145,288,2802,155,1365.0
205160020,126,Gillig_103,354,48148.0,0.00,126,20220111 16:12,58560,61200,354,288,3002,156,10412.0
205161020,504,Gillig_105,145,57640.0,7240.00,504,20220111 16:14,58200,60000,145,288,1102,108,560.0
205162020,124,Gillig_103,145,58092.0,3492.00,124,20220111 15:14,54600,56400,145,288,302,1016,3492.0
205163020,504,Gillig_105,145,57583.0,7183.00,504,20220111 14:00,50400,52200,145,288,1102,108,7183.0
205164020,146,Gillig_107,145,53270.0,9474.00,146,20220111 13:35,48900,50700,145,288,2602,153,4370.0
205165020,123,Gillig_103,145,54743.0,9147.00,123,20220111 12:42,45600,47400,145,288,2502,152,9143.0
205166020,504,Gillig_105,354,48138.0,6378.00,504,20220111 11:37,41760,44400,354,288,1102,108,6378.0
205167020,147,Gillig_101,145,39338.0,54.00,147,20220111 10:56,39300,41100,145,288,102,101,38.0
205168020,119,Gillig_103,145,43410.0,7111.00,119,20220111 10:20,36300,38100,145,288,1002,107,7110.0
205169020,145,Gillig_107,145,33419.0,121.00,145,20220111 09:17,33300,35100,145,288,902,106,119.0
205170020,506,Gillig_105,145,30330.0,51.00,506,20220111 08:25,30300,32100,145,288,602,103,30.0
205171020,129,Gillig_103,145,27334.0,46.00,129,20220111 07:34,27300,29100,145,288,802,105,34.0
205172020,147,Gillig_101,145,24330.0,53.00,147,20220111 06:45,24300,26100,145,288,102,101,30.0
205173020,154,Gillig_101,145,84629.0,29.00,154,20220111 23:25,84600,86100,145,288,2802,155,29.0
205174020,126,Gillig_103,217,82822.0,22.00,126,20220111 22:55,82800,84600,217,1351,3002,156,22.0
205175020,126,Gillig_103,217,75621.0,21.00,126,20220111 20:56,75600,77400,217,1351,3002,156,21.0
205176020,506,Gillig_105,217,72610.0,1811.00,506,20220111 19:35,70800,74100,217,354,5702,452,1810.0
205177020,504,Gillig_105,217,71022.0,3222.00,504,20220111 18:46,67800,71100,217,354,1102,108,3222.0
