trip_id,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name
205523020,144,20220111 08:46,08:43:00,08:54:00,413,400,14,1402,1401
206088020,727,20220111 08:46,08:45:00,09:00:00,730,1565,2A,3202,201
204888020,119,20220111 08:46,08:51:00,09:30:00,354,95,1,1002,107
205364020,140,20220111 08:49,08:47:00,08:57:00,400,413,14,1602,1403
205059020,147,20220111 08:50,08:50:00,09:20:00,145,217,10A,102,101
205509020,143,20220111 08:51,08:50:00,09:01:00,413,400,14,1502,1402
205736020,135,20220111 08:51,08:30:00,09:00:00,145,1423,16,7302,904
205391020,144,20220111 08:54,08:54:00,09:04:00,400,413,14,1402,1401
206342020,120,20220111 08:55,09:00:00,10:00:00,1883,1351,4,4802,401
206067020,727,20220111 08:55,09:00:00,09:15:00,1565,730,2A,3202,201
205920020,134,20220111 08:55,08:55:00,09:10:00,166,756,21,5202,405
205735020,111,20220111 08:57,09:00:00,09:30:00,145,1423,16,7202,903
205068020,506,20220111 08:58,08:55:00,09:25:00,288,1351,10A,602,103
206947020,703,20220111 08:59,09:00:00,09:15:00,1566,1874,33,3902,3302
206298020,501,20220111 09:00,09:00:00,10:00:00,1351,1876,4,5002,403
205493020,140,20220111 09:00,08:57:00,09:08:00,413,400,14,1602,1403
205760020,135,20220111 09:00,09:00:00,09:50:00,2086,354,16,7302,904
204944020,129,20220111 09:03,09:05:00,09:40:00,95,145,1,802,105
205522020,144,20220111 09:03,09:04:00,09:15:00,413,400,14,1402,1401
206033020,126,20220111 09:03,09:05:00,09:30:00,779,12,28,3402,2801
205652020,728,20220111 09:04,08:50:00,09:15:00,143,454,15A,1902,1501
205377020,143,20220111 09:04,09:01:00,09:11:00,400,413,14,1502,1402
205363020,140,20220111 09:09,09:08:00,09:18:00,400,413,14,1602,1403
206872020,703,20220111 09:10,09:15:00,09:30:00,1874,1565,DTS,3902,3302
205942020,134,20220111 09:11,09:10:00,09:40:00,756,690,21,5202,405
205249020,150,20220111 09:13,09:10:00,09:40:00,1555,1710,13,1202,1301
205390020,144,20220111 09:13,09:15:00,09:25:00,400,413,14,1402,1401
206089020,727,20220111 09:15,09:15:00,09:30:00,730,1565,2A,3202,201
205187020,147,20220111 09:15,09:20:00,09:50:00,217,1351,10G,102,101
205508020,143,20220111 09:16,09:11:00,09:22:00,413,400,14,1502,1402
205169020,145,20220111 09:17,09:15:00,09:45:00,145,288,10G,902,106
206792020,138,20220111 09:18,09:10:00,09:40:00,1710,145,9,7102,902
205667020,728,20220111 09:18,09:15:00,09:40:00,454,143,15A,1902,1501
204912020,506,20220111 09:20,09:25:00,09:55:00,1351,95,1,602,103
205492020,140,20220111 09:20,09:18:00,09:29:00,413,400,14,1602,1403
206774020,136,20220111 09:21,09:11:00,09:50:00,354,1710,9,7402,905
205376020,143,20220111 09:24,09:22:00,09:32:00,400,413,14,1502,1402
206343020,504,20220111 09:25,09:30:00,10:45:00,1878,690,4,4902,402
206015020,126,20220111 09:25,09:30:00,09:55:00,12,779,28,3402,2801
205521020,144,20220111 09:25,09:25:00,09:36:00,413,400,14,1402,1401
206949020,703,20220111 09:28,09:30:00,09:45:00,1566,1874,33,3902,3302
205759020,111,20220111 09:29,09:30:00,10:05:00,509,1555,16,7202,903
206068020,727,20220111 09:30,09:30:00,09:45:00,1565,730,2A,3202,201
205924020,124,20220111 09:31,09:30:00,09:45:00,166,756,21,3702,302
205362020,140,20220111 09:33,09:29:00,09:39:00,400,413,14,1602,1403
205507020,143,20220111 09:33,09:32:00,09:43:00,413,400,14,1502,1402
205389020,144,20220111 09:38,09:36:00,09:46:00,400,413,14,1402,1401
206874020,703,20220111 09:40,09:45:00,10:00:00,1874,1565,DTS,3902,3302
205262020,150,20220111 09:40,09:40:00,10:20:00,1710,690,13,1202,1301
205375020,143,20220111 09:40,09:43:00,09:53:00,400,413,14,1502,1402
205058020,129,20220111 09:41,09:40:00,10:10:00,145,217,10A,802,105
205491020,140,20220111 09:42,09:39:00,09:50:00,413,400,14,1602,1403
205734020,138,20220111 09:42,09:40:00,10:10:00,145,1423,16,7102,902
205076020,145,20220111 09:43,09:45:00,10:15:00,288,1351,10A,902,106
206090020,727,20220111 09:46,09:45:00,10:00:00,730,1565,2A,3202,201
205520020,144,20220111 09:47,09:46:00,09:57:00,413,400,14,1402,1401
204911020,147,20220111 09:48,09:50:00,10:20:00,1351,95,1,102,101
206032020,126,20220111 09:50,09:55:00,10:20:00,779,12,28,3402,2801
206796020,136,20220111 09:50,09:50:00,10:20:00,1710,145,9,7402,905
205946020,124,20220111 09:50,09:45:00,10:03:00,756,1351,21,3702,302
205651020,728,20220111 09:51,09:40:00,10:05:00,143,454,15A,1902,1501
205361020,140,20220111 09:52,09:50:00,10:00:00,400,413,14,1602,1403
205388020,144,20220111 09:53,09:57:00,10:07:00,400,413,14,1402,1401
205506020,143,20220111 09:55,09:53:00,10:04:00,413,400,14,1502,1402
204942020,506,20220111 09:55,09:55:00,10:30:00,95,145,1,602,103
206341020,501,20220111 09:56,10:00:00,11:00:00,1883,1351,4,5002,403
206062020,727,20220111 09:57,10:00:00,10:15:00,1565,730,2A,3202,201
206951020,703,20220111 10:01,10:00:00,10:15:00,1566,1874,33,3902,3302
206297020,120,20220111 10:01,10:00:00,11:00:00,1351,1876,4,4802,401
205490020,140,20220111 10:02,10:00:00,10:11:00,413,400,14,1602,1403
205374020,143,20220111 10:02,10:04:00,10:14:00,400,413,14,1502,1402
205248020,135,20220111 10:03,10:06:00,10:45:00,354,1710,13,1302,1351
