trip_id,vid,gtfs_trip_id,gtfs_time_start,gtfs_time_end
205387,144,205387,10:18:00,10:28:00
205733,136,205733,10:20:00,10:50:00
205367,143,205367,10:25:00,10:35:00
206061,727,206061,10:30:00,10:45:00
205057,506,205057,10:30:00,11:00:00
205075,119,205075,10:35:00,11:05:00
206954,703,206954,10:35:00,10:50:00
205359,140,205359,10:32:00,10:42:00
205518,144,205518,10:28:00,10:39:00
206791,111,206791,10:35:00,11:05:00
205926,124,205926,10:40:00,10:55:00
205505,143,205505,10:35:00,10:46:00
206038,126,206038,10:45:00,11:30:00
205386,144,205386,10:39:00,10:49:00
204956,145,204956,10:45:00,11:20:00
204909,129,204909,10:45:51,11:15:00
206083,727,206083,10:45:00,11:00:00
206880,703,206880,10:50:00,11:05:00
205261,135,205261,10:45:00,11:15:00
205373,143,205373,10:46:00,10:56:00
205650,728,205650,10:30:00,10:55:00
205488,140,205488,10:42:00,10:53:00
205923,112,205923,10:56:00,11:20:00
206772,138,206772,10:45:00,11:15:00
205517,144,205517,10:49:00,11:00:00
206340,120,206340,11:00:00,12:00:00
205167,147,205167,10:55:00,11:25:00
205358,140,205358,10:53:00,11:03:00
205757,136,205757,10:50:00,11:25:00
206022,134,206022,11:01:00,11:35:00
205504,143,205504,10:56:00,11:07:00
205185,506,205185,11:00:00,11:55:00
204921,119,204921,11:07:01,11:20:00
205385,144,205385,11:00:00,11:10:00
205948,124,205948,10:55:00,11:20:00
206296,501,206296,11:00:00,12:00:00
205665,728,205665,10:55:00,11:20:00
206060,727,206060,11:00:00,11:15:00
205732,111,205732,11:05:00,11:40:00
206957,703,206957,11:05:00,11:20:00
205372,143,205372,11:07:00,11:17:00
205487,140,205487,11:03:00,11:14:00
205516,144,205516,11:10:00,11:21:00
204955,129,204955,11:15:00,12:00:00
205357,140,205357,11:14:00,11:24:00
206082,727,206082,11:15:00,11:30:00
206883,703,206883,11:20:00,11:35:00
205247,135,205247,11:15:00,11:45:00
205384,144,205384,11:21:00,11:31:00
205503,143,205503,11:17:00,11:28:00
204908,123,204908,11:26:00,11:50:00
205056,145,205056,11:20:00,11:50:00
205074,147,205074,11:25:00,11:55:00
205486,140,205486,11:24:00,11:35:00
206771,136,206771,11:25:00,11:55:00
205371,143,205371,11:28:00,11:38:00
207272,146,207272,11:31:00,11:55:00
206790,138,206790,11:15:00,11:45:00
206324,752,206324,11:30:00,12:30:00
205649,728,205649,11:20:00,11:45:00
