interval_begin,interval_end,edge_id,edge_speed,edge_density,edge_laneDensity,edge_left,edge_occupancy,edge_traveltime,edge_waitingTime,edge_entered
21600.0,22200.0,-26300,6.91,0.51,0.51,2,0.24,14.5,0.0,2
21600.0,22200.0,-26301,11.12,0.3,0.3,2,0.13,6.49,0.0,0
21600.0,22200.0,-26302,9.11,0.19,0.19,1,0.09,9.87,0.0,1
21600.0,22200.0,-26303,17.34,1.69,1.69,16,1.01,5.4,0.0,17
21600.0,22200.0,-26304,1.8,1.89,1.89,2,0.93,71.87,104.0,1
21600.0,22200.0,-26305,1.37,31.06,31.06,20,22.44,58.29,1100.0,27
21600.0,22200.0,-26306,8.81,0.0,0.0,0,0.0,76.05,0.0,1
21600.0,22200.0,-26307,8.33,0.61,0.61,2,0.29,11.59,0.0,1
21600.0,22200.0,-26308,,,,0,,,,0
21600.0,22200.0,-26309,,,,0,,,,0
21600.0,22200.0,-26310,5.26,0.32,0.32,1,0.14,9.03,0.0,0
21600.0,22200.0,-26311,,,,0,,,,0
21600.0,22200.0,-26312,,,,0,,,,0
21600.0,22200.0,-26313,14.64,1.08,1.08,9,0.51,6.74,0.0,9
21600.0,22200.0,-26314,13.35,8.34,8.34,17,1.33,0.18,0.0,17
21600.0,22200.0,-26315,7.25,0.49,0.49,2,0.22,9.3,0.0,2
21600.0,22200.0,-26316,8.38,0.2,0.2,1,0.1,11.33,0.0,0
21600.0,22200.0,-26317,8.57,0.19,0.19,1,0.1,18.85,0.0,0
21600.0,22200.0,-26318,12.79,0.67,0.67,5,0.32,14.85,0.0,5
21600.0,22200.0,-26319,7.36,0.23,0.23,1,0.11,37.76,0.0,1
21600.0,22200.0,-26320,,,,0,,,,0
21600.0,22200.0,-26321,16.17,0.47,0.47,4,0.22,5.19,0.0,5
21600.0,22200.0,-26322,9.16,0.18,0.18,1,0.09,9.93,0.0,0
21600.0,22200.0,-26323,7.88,0.21,0.21,0,0.1,7.2,0.0,1
21600.0,22200.0,-26324,,,,0,,,,0
21600.0,22200.0,-26325,6.68,0.25,0.25,1,0.11,5.9,0.0,0
21600.0,22200.0,-26326,7.6,0.46,0.46,2,0.22,12.79,0.0,2
21600.0,22200.0,-26327,11.01,0.32,0.32,1,0.14,7.88,0.0,2
21600.0,22200.0,-26328,,,,0,,,,0
21600.0,22200.0,-26329,,,,0,,,,0
21600.0,22200.0,-26330,16.51,0.35,0.17,3,0.08,2.03,0.0,3
21600.0,22200.0,-26331,7.74,0.43,0.43,1,0.21,48.9,0.0,2
21600.0,22200.0,-26332,7.95,0.42,0.42,2,0.21,26.43,0.0,0
21600.0,22200.0,-26333,8.62,0.19,0.19,1,0.09,10.06,0.0,0
21600.0,22200.0,-26334,,,,0,,,,0
21600.0,22200.0,-26335,6.3,0.27,0.27,1,0.13,34.84,0.0,1
21600.0,22200.0,-26336,,,,0,,,,0
