time,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass
21694000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21695000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21696000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21697000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21698000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21699000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21700000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21701000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21702000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21703000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21704000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21705000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21706000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21707000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21708000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21709000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21710000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21711000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21712000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21713000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21714000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21715000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21716000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21717000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21718000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21719000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21720000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
