trip_id,id,type,busStop,lane,pos,parking,started,ended,delay,arrivalDelay,initialPersons,loadedPersons,unloadedPersons,initialContainers,loadedContainers,unloadedContainers,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name,start_diff
206079020,727,Gillig_108,730,-861020849#1_0,99.17,0,45883.0,45901.00,0.00,-17.00,10,1,4,0,0,0,727,20220111 12:44,45900,46800,730,1565,2A,3202,201,17.0
206789020,111,Gillig_103,1710,9520016_0,78.24,0,45914.0,45915.00,14.00,14.00,9,0,0,0,0,0,111,20220111 12:46,45900,47700,1710,145,9,7202,903,14.0
205458020,140,Gillig_102,413,394075884#0_0,100.14,0,46040.0,46043.00,22.00,20.00,2,3,2,0,0,0,140,20220111 12:46,46020,46620,413,400,14,1602,1403,20.0
206892020,703,Gillig_108,1874,-862426393#4_0,240.91,0,46233.0,46234.00,33.00,33.00,0,1,0,0,0,0,703,20220111 12:48,46200,47100,1874,1565,DTS,3902,3302,33.0
205331020,143,Gillig_102,400,173777776#0_0,187.24,0,46246.0,46261.00,0.00,-14.00,0,1,0,0,0,0,143,20220111 12:47,46260,46860,400,413,14,1502,1402,14.0
205482020,144,Gillig_102,413,394075884#0_0,100.16,0,46459.0,46460.00,19.00,19.00,0,1,0,0,0,0,144,20220111 12:55,46440,47040,413,400,14,1402,1401,19.0
204921020,119,Gillig_103,1351,861011659_0,111.28,0,46475.0,46477.00,6576.00,6575.00,4,1,3,0,0,0,119,20220111 11:00,39900,41700,1351,95,1,1002,107,6575.0
205327020,140,Gillig_102,400,173777776#0_0,187.25,0,46606.0,46621.00,0.00,-14.00,0,0,0,0,0,0,140,20220111 12:56,46620,47220,400,413,14,1602,1403,14.0
206327020,120,Gillig_103,1878,785729520#20_0,1.94,0,46808.0,46809.00,8.00,8.00,35,0,0,0,0,0,120,20220111 13:02,46800,51600,1878,690,4,4802,401,8.0
206769020,138,Gillig_102,1555,862070076#0_0,133.28,0,46828.0,46833.00,332.00,328.00,32,1,8,0,0,0,138,20220111 13:07,46500,48300,1555,1710,9,7102,902,328.0
206056020,727,Gillig_108,1565,-215313365#1_0,126.43,0,46828.0,46829.00,28.00,28.00,4,0,0,0,0,0,727,20220111 13:02,46800,47700,1565,730,2A,3202,201,28.0
205460020,143,Gillig_102,413,394075884#0_0,100.16,0,46879.0,46881.00,20.00,19.00,2,2,2,0,0,0,143,20220111 12:58,46860,47460,413,400,14,1502,1402,19.0
207274020,147,Gillig_101,166,-862116439#2_0,128.67,0,47014.0,47017.00,216.00,214.00,17,5,1,0,0,0,147,20220111 12:55,46800,47700,166,756,21,102,101,214.0
