trip_id,vid,vehicle_type,vehicle_actual_name,fuel_type,gtfs_trip_id,gtfs_time_start,gtfs_time_end
205362,140,Gillig_102,Gillig HF 2006,diesel,205362,09:29:00,09:39:00
205507,143,Gillig_102,Gillig HF 2006,diesel,205507,09:32:00,09:43:00
205389,144,Gillig_102,Gillig HF 2006,diesel,205389,09:36:00,09:46:00
206874,703,Gillig_108,BYD_BEV,electric,206874,09:45:00,10:00:00
205262,150,Gillig_101,Gillig LF 35' 2014,diesel,205262,09:40:00,10:20:00
205375,143,Gillig_102,Gillig HF 2006,diesel,205375,09:43:00,09:53:00
205058,129,Gillig_103,Gillig HF 35' 2002,diesel,205058,09:40:00,10:10:00
205491,140,Gillig_102,Gillig HF 2006,diesel,205491,09:39:00,09:50:00
205734,138,Gillig_102,Gillig HF 2006,diesel,205734,09:40:00,10:10:00
205076,145,Gillig_107,Gillig LF 37' 2009,diesel,205076,09:45:00,10:15:00
206090,727,Gillig_108,BYD_BEV,electric,206090,09:45:00,10:00:00
205520,144,Gillig_102,Gillig HF 2006,diesel,205520,09:46:00,09:57:00
204911,147,Gillig_101,Gillig LF 35' 2014,diesel,204911,09:50:00,09:58:20
206032,126,Gillig_103,Gillig HF 35' 2002,diesel,206032,09:55:00,10:20:00
206796,136,Gillig_102,Gillig HF 2006,diesel,206796,09:50:00,10:20:00
205946,124,Gillig_103,Gillig HF 35' 2002,diesel,205946,09:45:00,10:03:00
205651,728,Gillig_108,BYD_BEV,electric,205651,09:40:00,10:05:00
205361,140,Gillig_102,Gillig HF 2006,diesel,205361,09:50:00,10:00:00
205388,144,Gillig_102,Gillig HF 2006,diesel,205388,09:57:00,10:07:00
205506,143,Gillig_102,Gillig HF 2006,diesel,205506,09:53:00,10:04:00
204942,506,Gillig_105,Gillig 35' Hybrids 2014,hybrid,204942,09:55:00,10:30:00
206341,501,Gillig_106,Gillig 37' Hybrids 2009,hybrid,206341,10:00:00,11:00:00
206062,727,Gillig_108,BYD_BEV,electric,206062,10:00:00,10:15:00
206951,703,Gillig_108,BYD_BEV,electric,206951,10:00:00,10:15:00
206297,120,Gillig_103,Gillig HF 35' 2002,diesel,206297,10:00:00,11:00:00
205490,140,Gillig_102,Gillig HF 2006,diesel,205490,10:00:00,10:11:00
205374,143,Gillig_102,Gillig HF 2006,diesel,205374,10:04:00,10:14:00
205248,135,Gillig_102,Gillig HF 2006,diesel,205248,10:06:00,10:45:00
205907,124,Gillig_103,Gillig HF 35' 2002,diesel,205907,10:05:00,10:20:00
205519,144,Gillig_102,Gillig HF 2006,diesel,205519,10:07:00,10:18:00
205666,728,Gillig_108,BYD_BEV,electric,205666,10:05:00,10:30:00
205360,140,Gillig_102,Gillig HF 2006,diesel,205360,10:11:00,10:21:00
204910,145,Gillig_107,Gillig LF 37' 2009,diesel,204910,10:17:01,10:30:00
205758,138,Gillig_102,Gillig HF 2006,diesel,205758,10:10:00,10:40:00
206773,111,Gillig_103,Gillig HF 35' 2002,diesel,206773,10:05:00,10:35:00
205186,129,Gillig_103,Gillig HF 35' 2002,diesel,205186,10:10:00,10:45:00
206877,703,Gillig_108,BYD_BEV,electric,206877,10:20:00,10:35:00
206282,752,Gillig_108,BYD_BEV,electric,206282,10:21:00,11:30:00
204957,147,Gillig_101,Gillig LF 35' 2014,diesel,204957,10:20:00,10:55:00
206084,727,Gillig_108,BYD_BEV,electric,206084,10:15:00,10:30:00
205497,143,Gillig_102,Gillig HF 2006,diesel,205497,10:14:00,10:25:00
206021,126,Gillig_103,Gillig HF 35' 2002,diesel,206021,10:20:00,10:45:00
205168,119,Gillig_103,Gillig HF 35' 2002,diesel,205168,10:05:00,10:35:00
205929,124,Gillig_103,Gillig HF 35' 2002,diesel,205929,10:20:00,10:38:00
205489,140,Gillig_102,Gillig HF 2006,diesel,205489,10:21:00,10:32:00
205387,144,Gillig_102,Gillig HF 2006,diesel,205387,10:18:00,10:28:00
205733,136,Gillig_102,Gillig HF 2006,diesel,205733,10:20:00,10:50:00
205367,143,Gillig_102,Gillig HF 2006,diesel,205367,10:25:00,10:35:00
206061,727,Gillig_108,BYD_BEV,electric,206061,10:30:00,10:45:00
205057,506,Gillig_105,Gillig 35' Hybrids 2014,hybrid,205057,10:30:00,11:00:00
205075,119,Gillig_103,Gillig HF 35' 2002,diesel,205075,10:35:00,11:05:00
206954,703,Gillig_108,BYD_BEV,electric,206954,10:35:00,10:50:00
205359,140,Gillig_102,Gillig HF 2006,diesel,205359,10:32:00,10:42:00
205518,144,Gillig_102,Gillig HF 2006,diesel,205518,10:28:00,10:39:00
206791,111,Gillig_103,Gillig HF 35' 2002,diesel,206791,10:35:00,11:05:00
205926,124,Gillig_103,Gillig HF 35' 2002,diesel,205926,10:40:00,10:55:00
205505,143,Gillig_102,Gillig HF 2006,diesel,205505,10:35:00,10:46:00
