trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
199162070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199163070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199164070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199165070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199166070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199167070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199168070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199169070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199170070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199171070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199172070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199173070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199174070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199175070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199176070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199177070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199178070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199179070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199180070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199181070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199182070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199183070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199184070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199185070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199186070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199187070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199188070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199189070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199190070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199191070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199192070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199193070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199194070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199195070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199196070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199197070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199198070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199199070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199200070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199201070,14,3,"BROAD + 6TH",,0,1507,shp-14-02,2,2,1451
199202070,14,3,"BROAD + 6TH",,0,1607,shp-14-02,2,2,1452
199203070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199204070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199205070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199206070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199207070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199208070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199209070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199210070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199211070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199212070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199213070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199214070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199215070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199216070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199217070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199218070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199219070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199220070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199221070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199222070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199223070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199224070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199225070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199226070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
