timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
208,2104,"MAIN + COWART",,35.037340,-85.310087,,,,,,2
209,1725,"GROVE + 12TH",,35.044838,-85.317415,,,,,,2
210,740,"FRAZIER + FOREST",,35.062323,-85.306765,,,,,,0
212,1201,"4TH + LOOKOUT",,35.052153,-85.306638,,,,,,2
213,127,"33RD + TEEN CHALLENGE",,35.016470,-85.319037,,,,,,0
216,2083,"M.L.KING BLVD + FAIRVIEW",,35.040392,-85.293970,,,,,,2
217,1563,"DODDS + 36TH",,35.000215,-85.281970,,,,,,2
218,2843,"CORNELISON + POST OFFICE",,35.006294,-85.212319,,,,,,2
219,2094,"MAIN + ADAMS",,35.033843,-85.301457,,,,,,2
222,1650,"STATE ST + STATE LINE",,34.984730,-85.288150,,,,,,2
225,2049,"LEE HWY + HICKORY VALLEY",,35.040372,-85.169627,,,,,,2
226,1696,"GLENWOOD + MISSION",,35.045120,-85.256903,,,,,,2
227,2133,"MAIN + MADISON",,35.032922,-85.298802,,,,,,2
228,1263,"BARTON + CREWDSON",,35.063960,-85.297435,,,,,,2
229,2088,"M.L.KING BLVD + PARK",,35.040817,-85.295098,,,,,,2
230,1481,"CHAMBERLAIN + CUSHMAN",,35.069305,-85.246922,,,,,,2
231,2430,"TUNNEL BLVD + ACUFF",,35.064798,-85.228103,,,,,,2
232,2121,"MAIN + HOLLY",,35.027485,-85.284227,,,,,,2
233,558,"NORTHGATE + PANERA",,35.132243,-85.241915,,,,,,0
234,2345,"SHOLAR + CARTA",,35.055877,-85.268777,,,,,,2
236,1264,"BARTON + DUGDALE",,35.066678,-85.290203,,,,,,2
237,2113,"MAIN + GREENWOOD",,35.028507,-85.287422,,,,,,2
239,1554,"DODDS + 31ST",,35.005833,-85.278918,,,,,,2
240,1946,"HIXSON PK + MANCHESTER",,35.108143,-85.271653,,,,,,2
242,1553,"DODDS + 30TH",,35.006605,-85.278473,,,,,,2
244,2129,"MAIN + LONG",,35.036518,-85.308418,,,,,,2
245,1773,"ROANOKE + WILSON",,35.051995,-85.264820,,,,,,2
246,765,"MAIN + FORT",,35.038723,-85.314395,,,,,,0
248,2119,"MAIN + MORNINGSIDE",,35.027005,-85.282828,,,,,,2
249,69,"HALSEY + CENTRA",,34.988930,-85.319322,,,,,,0
251,1703,"GLENWOOD + ROBBINS",,35.042837,-85.257778,,,,,,2
252,822,"BAILEY AVE + GREENWOOD",,35.035965,-85.283018,,,,,,0
253,51,"37TH + CALVIN DONALDSON",,35.010057,-85.318733,,,,,,0
